ma,ten,ten_eg
809057,Ngữ âm học tiếng Việt,                              
815022,Sinh lý trẻ em lứa tuổi tiểu học,                              
816222,Múa 2,                              
319496,(TN) Phương pháp khám phá khoa học và môi trường xung quanh,
810088,Lịch sử khai phá vùng đất Nam Bộ (TK XVII-XIX),                              
803002,Vật lý đại cương,                              
309013,Một số vấn đề văn học VN từ 1945-1975,                              
846006,Giáo dục dân số và môi trường,                              
802403,Cơ học lượng tử,
803074,Xúc tác và ứng dụng,                              
315013,Lý luận văn học và mỹ học,                              
839118,Tiếng Việt,                              
204018,Lập trình hướng đối tượng 1,                              
803331,Thí nghiệm dạy học hóa học THCS,
712030,Hoạt động giáo dục ngoài giờ lên lớp,                              
240035,Lưu trữ tài liệu nghe nhìn,                              
264011,Tiếng Việt thực hành,                              
201010,Hình học sơ cấp - Thực hành giải toán,                              
809055,Văn học Châu Á,                              
847412,Pinao phổ thông 1,
815406,Phát triển năng lực toán học của học sinh Tiểu học,
817402,Lịch sử Mỹ thuật Thế giới,
866002,Tiếng Anh (2),                              
848403,Phép biến đổi tích phân,
820067,L/sử p/trào cộng sản và công nhân q/tế,                              
238014,Phong cách học,                              
317010,Hình họa 2,                              
854324,Thực tế chuyên môn 1,                              
H33019,Quản trị rủi ro,                              
820326,Chuyên đề ĐLCM của Đảng Cộng sản VN,
809109,Chuyên đề mối quan hệ giữa văn học và văn hóa,                              
819066,Phương pháp giáo dục thể chất (CĐ),                              
832006,"Kinh tế lượng (ngành TCNH, ngành KT)",                              
H33023,Quan hệ công chúng,                              
861003,Đường lối cách mạng của ĐCS VN,                              
838023,Ngữ âm - Âm vị học,                              
216025,Thanh nhạc 4,                              
844061,Pháp luật về Đấu thầu quốc tế,                              
815079,Từ Hán Việt,                              
833080,Lập kế hoạch kinh doanh,                              
841429,Cơ sở dữ liệu nâng cao,
801416,Phương pháp dạy học môn Toán II,
832057,Kế toán Mỹ,                              
854316,Ngoại giao thế giới,                              
809052,Văn học VN trung đại 2,                              
809399,Khóa luận tốt nghiệp (DVA),
843407,"Luật Dân sự 3 - Nghĩa vụ và hợp đồng, trách nhiệm bồi thường thiệt hại ngoài hợp đồng",
813073,Thực hành giảng dạy 1,                              
835076,Thực tế bộ môn 2,                              
215037,Đạo đức và PPDH Đạo đức,                              
841308,Khai phá dữ liệu,                              
806085,Thực hành sư phạm 5,                              
813429,Tiếng Hàn nâng cao,
709102,Lí luận và PP dạy Tiếng Việt THCS,                              
119099,(TN) PP làm quen với VH và trò chơi ph/triển ng/ngữ,                              
701116,Thực hành sư phạm 1 (THCS),                              
713006,"Dân số, môi trường, AIDS, Ma túy",                              
854303,Tiếng Trung 3,
802063,PPDH Vật lý THPT 4,                              
843101,Luật tố tụng dân sự,                              
813063,Kỹ năng đọc 2,                              
806303,Tiến hóa,
261004,Lịch sử Đảng CSVN,                              
705074,PLC cơ bản,                              
737107,Toán văn phòng,                              
833198,Thực tập tốt nghiệp (DQK),                              
834453,Đồ án tốt nghiệp 2,
858003,Đại số tuyến tính,
820505,Giáo dục pháp luật,
850044,Xử lí ảnh,                              
701120,Hình học xạ ảnh (CĐ),                              
811089,Hệ thống thông tin điạ lý,                              
H33015,Tin học ứng dụng trong kinh doanh,                              
803112,Lý luận và phương pháp dạy học hóa học THPT 2,                              
801071,Số học và thuật toán,                              
811098,Khoá luận tốt nghiệp (LT DDI),                              
836125,Nghiệp vụ công tác lưu trữ,                              
H33030,Hệ thống thông tin quản lý,                              
207021,Thực hành Sư phạm 2,                              
841407,Các hệ quản trị cơ sở dữ liệu,
815070,PPDH Thủ công - Kỹ thuật,                              
838055,Kỹ năng Nghe 3,                              
364004,Tiếng Anh 4,                              
315084,Cơ sở Tự nhiên - Xã hội,                              
843411,Công pháp quốc tế,
205018,T.H. cơ khí 1,                              
207019,Thổ nhưỡng nông hoá,                              
819052,Phòng bệnh trẻ em,                              
842196,Thực tập tốt nghiệp (chuyên ngành Tài chính),                              
132032,Tiếng Anh 3,                              
211004,Địa chất học,                              
815004,Chuyên đề phương pháp dạy học TV,                              
852403,Vận hành bảo dưỡng hệ thống vô tuyến số,
232027,Tài chính doanh nghiệp,                              
836111,Tiếng Anh chuyên ngành QTVP 1,                              
817119,Trang trí 2,                              
802052,Vật lý thống kê,                              
811059,Địa lý kinh tế-xã hội thế giới,                              
820304,Thường thức Mỹ thuật,
205009,Cơ kĩ thuật 1,                              
803062,TH hóa phân tích định lượng,                              
849016,Cung cấp điện,                              
816431,Kí xướng âm 1,
867511,Kinh tế lượng,
141019,Các trình tiện ích,                              
841501,Nhập môn công nghệ thông tin và truyền thông,
801052,Phương pháp dạy học THPT 2,                              
822326,Lịch sử hình thành và phát triển các tổ chức hợp tác quốc tế và khu vực,
849320,Robot công nghiệp,
850049,Thiết kế vi mạch số,                              
853415,Phương pháp giảng dạy tâm lý học,
238020,Tiếng Anh trong thuyết minh du lịch (1),                              
208018,PPDH môn Kinh tế gia đình 1,                              
302001,Chuyên đề vật lý đại cương I,                              
834307,Kỹ thuật phân tích môi trường,
232010,Xác suất thống kê toán,                              
164002,Tiếng Anh 2,                              
811317,Thực hành sư phạm THCS 4,
821508,Lý luận dạy học môn Khoa học tự nhiên,
802088,Thực hành sư phạm 5,                              
802106,Toán cho vật lý,                              
238009,Ngữ nghĩa học,                              
363013,Tổ chức HĐ dạy học ở trường Tiểu học,                              
QG0553,Quản lí sự thay đổi trong giáo dục,                              
132027,Kế toán chi phí,                              
835117,Nghiệp vụ nhà hàng,                              
835094,Quản trị nhà hàng (F&B),                              
214021,Đọc hiểu 2,                              
820057,Tư tưởng Hồ Chí Minh,                              
803307,Hóa keo,
820025,Phương pháp dạy học GDCD 2,                              
817001,Đường lối VH văn nghệ của ĐCSVN,                              
132038,Hệ thống thông tin kế toán 2 (TH mô phỏng kế toán),                              
705054,Kĩ thuật điện 2,                              
850414,Điện tử y sinh,
833057,Quản trị rủi ro,                              
803499,Khóa luận tốt nghiệp (DHO),
811023,Khí quyển - Thủy quyển,                              
219051,Dinh dưỡng (2đvht),                              
854503,Sáng tạo nội dung truyền thông,
866001,Tiếng Anh (1),                              
238035,Tiếng Anh thương mại : Viết (4),                              
835105,Tâm lý - giao tiếp du lịch,                              
802001,Đại số,                              
809033,Một số vấn đề VHVN hiện đại,                              
851005,Tiết kiệm năng lượng,                              
732051,Thẩm định giá,                              
842114,Kế toán tài chính (ngành Ngân hàng),                              
819093,Tổ chức hoạt động tạo hình (nâng cao),                              
843063,Pháp luật về trách nhiệm bồi thường Nhà nước,                              
710099,Khóa luận tốt nghiệp (CSU),                              
809108,Chuyên đề văn học phương Tây,                              
834050,Vật lý môi trường,                              
O19002,Tâm lí học trẻ em,                              
845062,Kỹ năng tư vấn pháp luật Thuế,                              
810071,"Cải cách, duy tân ở Việt Nam (từ cuối TK XIX đến đầu TK XX)",                              
821308,Vật lý đại cương 1,
802053,Điện động lực học,                              
863003,TLH lứa tuổi Tiểu học & TLH sư phạm,                              
850022,Thí nghiệm điện tử 1,                              
832052,Kế toán tài chính 3,                              
215007,Vẽ theo mẫu,                              
306099,(TN) PP dạy học Sinh học ở THPT,                              
207027,Tin học ứng dụng,                              
301086,Hàm số thực,                              
707056,Cây rau,                              
QG0513,Phương pháp nghiên cứu khoa học quản lí giáo dục,                              
238007,Tiếng Anh thương mại : Đọc (1),                              
716103,Thực hành sư phạm 3C,                              
803312,Lịch sử hóa học,
202004,Thực hành Sư phạm 1,                              
835034,Nghiệp vụ Lễ tân khách sạn Quốc tế,                              
816235,Dàn dựng chương trình nghệ thuật tổng hợp,                              
803313,Phương pháp bồi dưỡng học sinh giỏi THPT,
315034,Đạo đức  và PP dạy học Đạo đức,                              
843034,Luật Tố tụng hình sự,                              
850024,Truyền số liệu và mạng máy tính,                              
234050,Đánh giá tác động môi trường,                              
813323,Kỹ năng giảng dạy tiếng Anh THCS1,
803077,Hóa học lập thể,                              
309004,Ngôn ngữ văn học,                              
834439,Ứng dụng bức xạ trong xử lý ô nhiễm môi trường,
802099,Khóa luận tốt nghiệp (DLI),                              
850062,Kỹ thuật OFDM và MIMO,                              
839409,Tự động hóa thư viện,
708061,Y phục Nam,                              
839114,Thư viện Trường học,                              
331003,Cơ sở lập trình,                              
843408,Luật Hôn nhân và gia đình ,
737028,Quản lí dự án,                              
834325,Quản lý môi trường dựa vào cộng đồng (CBEM),
850425,Thực hành chuyên ngành điện tử viễn thông,
QG0515,Kinh tế học giáo dục,                              
809328,Dạy học Ngữ văn theo các định hướng đổi mới,
338020,Trung văn 2,                              
203016,Thực hành Sư phạm 2,                              
240037,Chỉnh lí tài liệu lưu trữ,                              
850409,Kỹ thuật đo lường và cảm biến,
834225,Tái chế và tái sử dụng chất thải,                              
208032,Bắt bông kem,                              
207033,Thực tập chuyên môn Nông nghiệp,                              
736001,Xã hội học đại cương,                              
712106,Các hoạt động mang tính nghiệp vụ của Đội TNTP,                              
816023,Nhập môn phức điệu 1,                              
847107,Múa 4,                              
232029,Kế toán hành chính sự nghiệp,                              
801094,Hình học Afine và hình học Euclice,                              
844104,"Kỹ năng đàm phán, giao kết hợp đồng trong thương mại quốc tế",                              
844103,Pháp luật giải quyết tranh chấp trong WTO,                              
809327,Thi pháp học với việc phân tích tác phẩm văn chương trong nhà trường,
835091,Tài nguyên và tuyến điểm DLVN,                              
819125,PP hướng dẫn trẻ làm quen với môi trường xung quanh (LT2),                              
219061,Tâm lí học hoạt động (2đvht),                              
843003,Phương pháp nghiên cứu khoa học pháp lý,                              
853420,Kỹ năng công tác xã hội và chăm sóc tinh thần cho người lao động,
813104,Tiếng Pháp 3,                              
210008,Rèn luyện kỹ năng về bản đồ - THSP 1,                              
737131,Lịch sử lưu trữ Việt Nam,                              
842056,Tài chính quốc tế,                              
811408,Địa lí kinh tế - xã hội Việt Nam 1,
235037,Chuyên đề : Phương ngữ tiếng Việt,                              
809342,Thực hành sư phạm 3 - THCS,
210017,Địa Lý lịch sử Việt Nam,                              
850016,Kỹ thuật lập trình và ứng dụng,                              
820110,Thực hành sư phạm THPT 2,                              
237007,Nguyên lý kế toán,                              
737025,Tiếng anh chuyên ngành 1,                              
338034,Tiếng Anh trong thương mại du lịch 3,                              
833059,Phân tích hoạt động kinh doanh,                              
816014,Phối hợp xướng 2,                              
817052,Trang trí 1,                              
815403,PPDH Tiếng Việt 1,
H61002,Những nguyên lí cơ bản của Chủ nghĩa Mác-Lênin 2,                              
841116,Đồ họa máy tính,                              
841415,Luật pháp và CNTT,
836106,Luật Lao động,                              
806308,Rèn luyện kỹ năng thiết kế bài học Sinh học theo hướng tích hợp,
834213,Nguyên lý và vận hành các thiết bị trong công nghệ MT,                              
835305,Văn hóa Phương Đông - Phương Tây,
850305,Truyền số liệu và mạng máy tính,
832402,Kế toán quản trị,
833316,Marketing quốc tế,
740117,Lưu trữ tài liệu nghe nhìn,                              
815305,Phát triển năng lực viết câu cho HSTH bằng phép cải biến,
707104,Lý luận dạy học kỹ thuật nông nghiệp,                              
861303,Chủ nghĩa xã hội khoa học,
315004,Đại số sơ cấp,                              
132030,Phân tích báo cáo tài chính,                              
820315,Chính trị học so sánh,
310013,Chuyên đề lịch sử nhà nước và PL VN,                              
232038,Phân tích hoạt động kinh doanh,                              
801112,Bài tập Độ đo và tích phân,                              
843416,Pháp luật về môi trường,
820436,Tìm hiểu thực tế hoạt động của hệ thống chính trị,
816302,Nhạc cụ 1A,                              
834475,Truyền thông môi trường,
737101,Nhân học đại cương,                              
841304,Phát triển ứng dụng web 1,                              
737113,Tiếng Anh chuyên ngành 2,                              
803306,Điện hóa học,
817112,Hình họa 7,                              
119006,Kĩ năng tạo hình,                              
806311,PPDH Sinh học THCS 3,
301085,Phương pháp dạy học Toán bậc THCS,                              
849099,Khóa luận tốt nghiệp (DDD),                              
817063,Trang trí ứng dụng 2,                              
842032,Địa lý kinh tế Việt Nam,                              
802308,Thí nghiệm vật lý THCS,
205005,Kĩ thuật điện 1,                              
853413,Tâm lý học tổ chức,
740051,"Thu thập, bổ sung tài liệu lưu trữ",                              
214019,Ngữ pháp 2,                              
331046,Seminar hệ thống thông tin,                              
311014,Địa lý kinh tế xã hội Việt Nam,                              
809312,Phong cách học tiếng Việt,
802307,Phân tích chương trình vật lý THCS 2,
801414,Thực hành sư phạm 5,
833002,Toán cao cấp C1,                              
736128,Lịch sử văn bản và công tác văn thư,                              
705107,Tin học chuyên ngành,                              
821425,Hợp chất thiên nhiên và ứng dụng,
219056,Phương pháp làm quen với văn học (4đvht),                              
204019,Phương pháp dạy học Tin học 2,                              
857499,Khóa luận tốt nghiệp (DDL),
832029,Nguyên lý kế toán,                              
816208,Kỹ thuật hát hợp xướng 2,                              
320009,PPDH GDCT ở trường THPT 2,                              
206013,Thực hành Sư phạm 2,                              
236027,Xã hội học đại cương,                              
803098,Khoá luận tốt nghiệp (LT DHO),                              
834091,Tai biến môi trường,                              
213011,Đất nước học Anh Mỹ 2,                              
839068,Công tác địa chí,                              
752099,Khóa luận tốt nghiệp (CKT),                              
OVA001,Ngữ văn,                              
847402,Kỹ thuật diễn viên,
233020,Kỹ thuật nghiệp vụ ngoại thương,                              
