ma,ten
DAN1243,ĐH chính quy - ngành Ngôn ngữ Anh - K.24 - Lớp 3
DLI1221,ĐH chính quy - ngành SP Vật lí - K.22 - Lớp 1
DKQ1232,ĐH chính quy - ngành Kinh doanh quốc tế - K.23 - Lớp 2
DTN1243,ĐH chính quy - ngành Tài chính - Ngân hàng - K.24 - Lớp 3
DQT1241,ĐH chính quy - ngành Quốc tế học - K.24 - Lớp 1
DTN1231,ĐH chính quy - ngành Tài chính - Ngân hàng - K.23 - Lớp 1
DTN1222,ĐH chính quy - ngành Tài chính - Ngân hàng - K.22 - Lớp 2
DTL1241,ĐH chính quy - ngành Tâm lí học - K.24 - Lớp 1
DSA1241,ĐH chính quy - ngành SP Tiếng Anh - K.24 - Lớp 1
DTL1231,ĐH chính quy - ngành Tâm lí học - K.23 - Lớp 1
DTN1235,ĐH chính quy - ngành Tài chính - Ngân hàng - K.23 - Lớp 5
DKE1242,ĐH chính quy - ngành Kế toán - K.24 - Lớp 2
DCV1241,ĐH chính quy - ngành CN kỹ thuật điện tử - viễn thông - K.24 - Lớp 1
DMI1221,ĐH chính quy - ngành SP Mỹ thuật - K.22 - Lớp 1
DLI1211,ĐH chính quy - ngành SP Vật lí - K.21 - Lớp 1
DLU1231,ĐH chính quy - ngành Luật - K.23 - Lớp 1
DTO1221,ĐH chính quy - ngành SP Toán - K.22 - Lớp 1
DKQ1241,ĐH chính quy - ngành Kinh doanh quốc tế - K.24 - Lớp 1
DSI1221,ĐH chính quy - ngành SP Sinh học - K.22 - Lớp 1
DQT1211,ĐH chính quy - ngành Quốc tế học - K.21 - Lớp 1
DNT1241,ĐH chính quy - ngành Trí tuệ nhân tạo - K.24 - Lớp 1
DTN1212,ĐH chính quy - ngành Tài chính - Ngân hàng - K.21 - Lớp 2
DDU1241,ĐH chính quy - ngành Khoa học dữ liệu - K.24 - Lớp 1
DMI1211,ĐH chính quy - ngành SP Mỹ thuật - K.21 - Lớp 1
DNA1231,ĐH chính quy - ngành Thanh nhạc - K.23 - Lớp 1
DKP1232,ĐH chính quy - ngành Kỹ thuật phần mềm - K.23 - Lớp 2
DDL1211,ĐH chính quy - ngành Du lịch - K.21 - Lớp 1
