ma,ten,ten_eg
846505,Tổ chức sự kiện trong cơ sở giáo dục,
815066,Cơ sở Khoa học Tự nhiên,                              
850029,Thực hành điện - điện tử,                              
842118,Định giá tài sản,                              
867003,Pháp luật kinh doanh,                              
835304,Các loại hình nghệ thuật Việt Nam,
832404,Chuẩn mực báo cáo tài chính quốc tế,
833371,Quản trị quan hệ khách hàng,
810429,Toàn cầu hóa và cục diện thế giới hiện đại,
846315,Đảm bảo chất lượng giáo dục,
842110,Kế toán quản trị (ngành TCNH),                              
839413,Thực tập ngành nghề,
841313,Tiếng Anh B2 - 1,
832061,Nghiệp vụ ngân hàng thương mại,                              
821413,Di truyền học và tiến hóa,
835111,Tiếng Anh giao tiếp du lịch 1,                              
817404,Giải phẫu tạo hình,
864004,Hóa học đại cương,                              
842301,Kế toán tài chính,
843406,"Luật Dân sự 2 - Tài sản, sở hữu và thừa kế tài sản",
839080,Phân tích và thiết kế hệ thống,                              
843412,Tội phạm học,
813407,Nghe - Nói 4,
820433,Chuyên đề Kinh tế chính trị,
833404,Quản trị bán hàng,
843070,Luật Hiến pháp,                              
839022,Văn bản và Lưu trữ học,                              
853028,Tâm lí học học đường,
815021,Giáo dục môi trường,                              
850425,Thực hành chuyên ngành điện tử viễn thông,
850435,Kỹ thuật phát thanh và truyền hình số,
850403,Linh kiện và mạch điện tử 1,
813412,Nhập môn ngôn ngữ học tri nhận,
832310,Excel trong kiểm toán,
838301,Tổng quan du lịch,
832055,Kiểm toán căn bản,                              
811078,Thực hành sư phạm 1,                              
836421,Tổ chức lao động trong văn phòng,
843052,Pháp luật về Thi hành án,                              
857419,Ứng dụng CNTT trong du lịch,
857413,Quản trị rủi ro trong du lịch,
843098,Thực tập tốt nghiệp (DLU),                              
816427,Thanh nhạc 3,
811404,Địa lí tự nhiên đại cương 3,
821315,Dao động và sóng,
815119,Văn học thiếu nhi,                              
863514,Tâm lí học (A),
813066,Viết nghiên cứu,                              
854423,Ngoại giao đa phương,
846324,Quản lí người học trong cơ sở giáo dục,
857434,Quản lý ẩm thực,
816425,Thanh nhạc 1,
843403,Luật Hành chính 1 - Phần chung,
841482,"Seminar chuyên đề (ngành CNTT, ngành KTPM)",
819052,Phòng bệnh trẻ em,                              
834417,Ứng dụng vi tảo trong xử lý môi trường,
861301,Triết học Mác - Lênin,
834450,Thực tế chuyên môn 1,
817402,Lịch sử Mỹ thuật Thế giới,
803112,Lý luận và phương pháp dạy học hóa học THPT 2,                              
843404,Luật dân sự 1 - Những vấn đề chung của pháp luật dân sự,
813001,Tiếng Trung 1,                              
822313,"Biển, đảo Việt Nam",
BORO11,Bóng rổ 1,                              
833054,Quản trị doanh nghiệp,                              
861305,Lịch sử Đảng Cộng sản Việt Nam,
841439,Mạng không dây,
803107,Thực hành hóa phân tích định tính,                              
857403,"Kiến trúc, mỹ thuật Việt Nam",
819104,Giao tiếp sư phạm mầm non,                              
835405,Quản trị các sự kiện văn hóa du lịch,
850313,Lập trình mạng,
802092,Vật lý chất rắn,                              
833354,Tiếng Anh chuyên ngành 2 (ngành KD quốc tế),
815059,Đại cương văn học Việt Nam,                              
839053,Tổ chức kho và bảo quản,                              
841462,Phát triển ứng dụng trên thiết bị di động (ngành KTPM),
838404,Tiếng Anh tài chính ngân hàng,
835065,Kinh tế du lịch,                              
803410,Hóa tinh thể,
832112,Kế toán ngân hàng thương mại,                              
843057,Pháp luật về khiếu nại và tố cáo,                              
846321,Nghiệp vụ công tác văn thư trong cơ sở giáo dục,
854004,Các nền văn minh nhân loại,                              
841438,Lập trình ứng dụng mạng,
813301,Hình thái - Cú pháp học,
820352,Quyền và nghĩa vụ của công dân,
811107,Tiếng Anh chuyên ngành Địa lý,                              
842304,PP định lượng trong tài chính ngân hàng,
839308,Phần mềm quản lí Thư viện,
835402,Quản lý di sản văn hóa và du lịch,
817408,Trang trí 1,
850405,An toàn điện và an toàn lao động,
847409,Thanh nhạc chuyên ngành 6,
853010,Tâm lí học nhận thức,                              
813104,Tiếng Pháp 3,                              
853405,Tâm lí học giáo dục,
819308,Phương pháp phát triển ngôn ngữ cho trẻ mầm non,
850350,Phương pháp nghiên cứu khoa học chuyên ngành kỹ thuật,
854016,Tiếng Anh chuyên ngành 2,
817054,Hình họa 3,                              
802506,Điện và từ,
802409,Vật lý bán dẫn và từ học,
836125,Nghiệp vụ công tác lưu trữ,                              
843033,Luật Hình sự 2 - Phần các tội phạm,                              
843055,Luật Tố tụng hành chính,                              
803302,Cơ sở hóa lượng tử,
822319,Thực tế chuyên môn  1,
801420,Khoa học luận lịch sử toán học,
848303,Mô hình hóa mô phỏng,
819106,PP giáo dục âm nhạc (ĐH),                              
833361,Quản trị Marketing quốc tế,
833102,Lương thưởng - phúc lợi,                              
801414,Thực hành sư phạm 5,
833311,Marketing căn bản,
834435,Kỹ thuật xử lý chất thải rắn và chất thải nguy hại,
822408,Thực hành sư phạm 2,
863412,Quản lý HCNN & quản lý ngành GD-ĐT (trường trung học),
820076,Thực hành sư phạm 2,                              
854401,Lịch sử ngoại giao Việt Nam,
849013,Giải tích hệ thống điện,                              
846406,Phương pháp nghiên cứu khoa học quản lý giáo dục,
857423,Tuyến điểm du lịch 2,
816410,Phân tích tác phẩm,
839006,Hán - Nôm,                              
843417,"Kỹ năng xác lập, thực hiện và giải quyết tranh chấp hợp đồng",
834475,Truyền thông môi trường,
867511,Kinh tế lượng,
806303,Tiến hóa,
813401,Tiếng Hàn 1,
854417,Quản trị khủng hoảng quốc tế,
842398,Thực tập tốt nghiệp (DTN),
848402,Phương trình vi phân và ứng dụng,
813101,Tiếng Trung 1,                              
806051,Động vật học 2,                              
838401,Tiếng Anh văn phòng,
852402,Mô hình dịch vụ mạng thế hệ sau NGN,
813313,Lý luận dạy học tiếng Anh 2,
834322,"Sức khỏe, an toàn và môi trường",
815103,ứng dụng xác suất thống kê ở trường Tiểu học,                              
858004,Cấu trúc rời rạc,
802412,Vật lý hiện đại,
854408,Kỹ năng biên dịch,
801022,Đại số đại cương,                              
806415,Sinh học phát triển cá thể,
817121,Tin học ứ/dụng chuyên ngành Mĩ thuật 2,                              
816079,Thực tế chuyên môn,                              
854027,Đàm phán Quốc tế,
854003,Kỹ năng soạn thảo văn bản ngoại giao,                              
816434,Ký xướng âm 4,
857429,Quản lý điểm đến du lịch,
841434,Thương mại điện tử và ứng dụng,
850022,Thí nghiệm điện tử 1,                              
815406,Phát triển năng lực toán học của học sinh Tiểu học,
867009,Quản trị học,
803050,Hóa vô cơ 1,                              
841481,Thiết kế giao diện,
863014,Thực tập sư phạm 2,                              
850422,Thông tin quang,
850421,Truyền sóng và anten,
813422,Tìm hiểu thực tế các cơ sở giáo dục tiên tiến,
801120,Hình học sơ cấp,                              
841447,Khai thác dữ liệu và ứng dụng,
850420,Xử lý số tín hiệu,
832098,Thực tập tốt nghiệp (KE),                              
832405,Kế toán quản trị chiến lược,
867005,Quản trị nguồn nhân lực,                              
833360,Quản trị nguồn nhân lực quốc tế,
811415,Hoạt động trải nghiệm sáng tạo trong dạy học Địa lí,
842112,Kinh doanh ngoại hối,                              
835407,Các vấn đề xã hội học đương đại,
839354,Chỉ mục và tóm tắt tài liệu,
842061,Quản trị ngân hàng thương mại,                              
815087,B/dưỡng n/lực cảm thụ VH cho HS tiểu học,                              
838306,Marketing căn bản,
815410,Hoạt động Trải nghiệm,
854518,Các tổ chức và diễn đàn quốc tế,
850410,CAD và ứng dụng,
846405,Tâm lí học quản lí - Giao tiếp trong QLGD,
819409,Dàn dựng chương trình văn nghệ cho trẻ mầm non,
801046,Độ đo tích phân,                              
843482,Pháp luật về thuế,
819107,PP giáo dục thể chất (ĐH),                              
833306,Thương mại điện tử,
836311,Hành vi tổ chức,
854424,Thông tấn báo chí đối ngoại,
822312,Đô thị thế giới và Việt Nam,
832304,"Hệ thống pháp luật về kế toán, kiểm toán",
859404,Marketing dịch vụ nhà hàng và dịch vụ ăn uống,
836417,Ứng dụng CNTT trong công tác văn phòng,
816440,Tổ chức hoạt động DH & GD ÂN ở trường TH ,
816424,Nhạc cụ 7,
820430,Hồ Chí Minh với tiến trình cách mạng Việt Nam,
865508,Thống kê trong Khoa học xã hội,
802401,Vật lý nguyên tử và hạt nhân,
835408,Thực tế chuyên môn 3,
BOBA12,Bóng bàn 2,                              
838305,Thực tế chuyên môn 1,
859409,Nghiệp vụ chế biến món ăn,
848010,Giải tích số,                              
838501,Tư duy phản biện,
816404,Nhập môn sáng tác,
802411,Lý luận dạy học vật lý hiện đại,
843420,Pháp luật về nhà ở và kinh doanh bất động sản,
839507,Phân loại tài liệu,
821421,Công nghệ sinh học,
857505,"Tôn giáo, tín ngưỡng và phong tục Việt Nam",
863515,Tâm lí học (B),
866102,Tiếng Anh II,                              
839119,Tài trợ thư viện,                              
842302,Tài chính hành vi,
821423,Vật lý hiện đại,
803304,Hóa hữu cơ 2,
813417,Phương pháp dạy học tiếng Anh 2,
854025,Quan hệ Quốc tế Âu – Mỹ,
836518,Kỹ năng hoạch định trong quản trị văn phòng,
813419,Phương pháp dạy học tiếng Anh 4,
816420,Nhạc cụ 3,
817410,Hình họa 5,
822404,Một số vấn đề về địa lí kinh tế - xã hội,
850427,Mạng cảm biến không dây và ứng dụng,
834456,Thực hành hóa học phân tích,
850413,Hệ thống nhúng,
836133,Tổ chức điều hành công sở,                              
846097,Thực tập 1,                              
817110,Thực hành sư phạm 4Đ,                              
815079,Từ Hán Việt,                              
806063,Thực tập nghiên cứu thiên nhiên,                              
855498,Thực tập tốt nghiệp (ngành KD Quốc tế),
816442,Hòa âm 2,
839110,Tham khảo cơ bản,                              
835312,Phong tục - Tín ngưỡng - Tôn giáo Việt Nam,
815506,Tiếng Việt 2,
822328,Lí luận và phương pháp dạy học Lịch sử,
802052,Vật lý thống kê,                              
863013,Công tác đội TNTP HCM,                              
832113,Tài chính công,                              
849008,Máy điện,                              
802111,Thí nghiệm vật lí THPT,                              
865003,Lịch sử văn minh Thế giới,                              
841440,Phân tích và thiết kế mạng máy tính,
820481,Giáo dục kinh tế 1,
835319,Chính sách ngoại giao Việt Nam,
801145,Xác suất và thống kê toán,                              
819086,Thực hành sư phạm 3,                              
863005,Giáo dục học đại cương,                              
820346,Tư tưởng Hồ Chí Minh (GDCT),
833358,Đàm phán trong kinh doanh,
836410,"Văn hóa công sở, doanh nghiệp",
834401,Hoá môi trường,
819102,Tâm lí học mầm non 2,                              
841070,Thực tập tốt nghiệp (DCT),                              
864003,Vật lí đại cương,                              
848413,Quản trị rủi ro,
819417,GD giá trị sống và kỹ năng sống cho trẻ MN,
806413,Dạy học Sinh học theo định hướng giáo dục STEM,
833198,Thực tập tốt nghiệp (DQK),                              
854302,Tiếng Trung 2,
803059,Hóa phân tích 1,                              
815053,Cấu trúc đại số,                              
848311,Seminar chuyên đề kinh tế 1,
817106,Sáng tác 4,                              
835308,Du lịch Quốc tế,
834217,Kỹ thuật xử lý khí thải,                              
857418,Tổ chức sự kiện du lịch,
853406,Tâm lí học lệch chuẩn,
822329,Lí luận và phương pháp dạy học Địa lí,
853503,Kỹ năng tham vấn,
816414,Hợp xướng 2,
810416,Lịch sử khai phá vùng đất Nam Bộ (TK XVII-XIX),
834215,Các quá trình hóa - lý trong kỹ thuật môi trường,                              
858015,Máy học,
BORO12,Bóng rổ 2,                              
859421,Tổng quan du lịch,
838309,PPNC khoa học trong ngành Ngôn ngữ Anh,
836130,Soạn thảo thư tín thương mại,                              
821425,Hợp chất thiên nhiên và ứng dụng,
863516,Tâm lí học (C),
811322,Phân tích chương trình môn Địa lý THCS,
846316,Quản lí nhân sự trong cơ sở giáo dục,
811413,Những vấn đề về địa lí kinh tế - xã hội,
841468,Chuyên đề J2EE,
836198,Thực tập tốt nghiệp (DQV),                              
813420,Tiếng Anh tiểu học,
843499,Khóa luận tốt nghiệp (DLU),
810415,"Đổi mới kiểm tra, đánh giá trong dạy học Lịch sử",
809308,Hệ thống thể loại và tác giả tiêu biểu Văn học Việt Nam hiện đại 1900 - 1945,
839303,Kĩ thuật soạn thảo văn bản,
853419,Kỹ năng giảng dạy tâm lý học,
834409,Biến đổi khí hậu,
834473,Quản lý môi trường dựa vào cộng đồng (CBEM),
853408,Tâm lí học gia đình,
850414,Điện tử y sinh,
816401,Nghệ thuật học đại cương,
854402,Chính trị quốc tế hiện đại,
817115,Điêu khắc,                              
809322,Hoạt động trải nghiệm trong dạy học Ngữ văn ,
820401,Các giá trị truyền thống của dân tộc Việt Nam,
857431,Lập dự án kinh doanh du lịch,
854503,Sáng tạo nội dung truyền thông,
809317,Các thể loại và tác gia tiêu biểu văn học Tây Âu – Mĩ,
817108,Thực hành sư phạm 2Đ,                              
811412,Những vấn đề về địa lí tự nhiên,
822337,Phong trào nông dân Việt Nam trong lịch sử,
838098,Thực tập tốt nghiệp (DTA) (DAN),                              
803418,Phương pháp dạy học hóa học theo chủ đề,
857432,Kỹ năng hoạt náo trong du lịch,
810065,Thực tế chuyên môn 1,                              
820314,Thực tế chuyên môn GDCD,
806412,PPDH Sinh học THPT 3,
801412,Thực hành sư phạm 3,
820513,Thực tế chuyên môn,
810083,Thực hành sư phạm 2,                              
833069,Thuế,                              
839309,Thư viện thiếu nhi,
801042,Phương trình vi phân,                              
836402,Quản trị học đại cương,
841446,Phân tích và xử lý ảnh,
854404,Quan hệ kinh tế quốc tế,
817064,Sáng tác 1,                              
848410,Quy hoạch tuyến tính (Toán),
803405,Các phương pháp phân tích hóa lý và thực hành,
857437,Nghiệp vụ Lễ tân,
853409,Tâm lí học kinh doanh và quảng cáo,
832114,"Tiền lương, tiền công",                              
847411,Thanh nhạc chuyên ngành 8,
836309,Cải cách HC và cải cách thủ tục hành chính,
839421,Marketing Thông tin - Thư viện,
811071,Địa lý biển Đông,                              
815055,Phương pháp dạy học Toán 1,                              
834406,Vẽ kỹ thuật môi trường,
802302,Toán cho vật lý,
806405,Giải phẫu học người,
806418,Công nghệ sinh học,
848033,Nhập môn mô hình toán kinh tế,                              
802406,Thực hành SP THPT 1,
821512,Rèn luyện nghiệp vụ sư phạm trong dạy học KHTN,
863115,Thực tập sư phạm 1,                              
843503,Lịch sử Nhà nước và pháp luật Việt Nam và thế giới,
833318,Hành vi khách hàng,
803419,Một số vấn đề chọn lọc trong nghiên cứu và giảng dạy hóa học,
802110,Cơ học lý thuyết,                              
846326,Quản lí việc xây dựng và phát triển chương trình giáo dục,
815411,PPDH Tự nhiên - Xã hội,
841415,Luật pháp và CNTT,
802051,Nhiệt động lực học,                              
820321,Thực hành NCKH chuyên ngành,
834464,Ứng dụng thiết lập dự án môi trường,
835406,Thực tập tốt nghiệp (DVI),
846329,Quản lí dự án giáo dục,
811418,Phương pháp dạy học địa lí 1,
849307,Bảo vệ rơ le và tự động hóa trong hệ thống điện,
834411,Tiếng Anh chuyên ngành môi trường 1,
857428,Quản lý an toàn cho du khách,
857404,Phương pháp NCKH ngành Du lịch,
841068,Hệ thống thông tin doanh nghiệp,                              
802023,Dao động và sóng,                              
849409,Thực tế chuyên môn ngành điện,
803125,Thực hành sư phạm THPT 2,                              
843051,Luật Hiến pháp nước ngoài,                              
843048,Thực tế chuyên môn,                              
854418,Thực tế chuyên môn 2,
839111,Tổ chức quản lý thư viện,                              
839420,Cơ sở dữ liệu,
836308,Thực tập ngành nghề,
849408,Thực hành hệ thống điện,
BOCH12,Bóng chuyền 2,                              
854414,Những vấn đề toàn cầu,
822338,Lịch sử quan hệ quốc tế,
809410,Hệ thống thể loại và tác giả tiêu biểu văn học VN hiện đại từ 1975 đến nay,
811302,Địa lí kinh tế - xã hội Việt Nam 2,
857430,Văn hóa doanh nghiệp du lịch,
842025,Anh văn tài chính ngân hàng,                              
809413,Phương pháp dạy học Ngữ văn 2 ,
834415,Phương pháp nghiên cứu khoa học trong môi trường,
849410,Mạng truyền thông công nghiệp & SCADA,
832302,Kế toán tài chính 3,
863404,TLH lứa tuổi trung học và TLH sư phạm,
841456,Công nghệ tri thức,
848052,Kinh tế lượng nâng cao,                              
834420,Kinh tế môi trường,
848022,Giải tích số nâng cao,
859400,Phương pháp nghiên cứu khoa học,
821312,Phương pháp dạy học các chủ đề trong môn KHTN,
848403,Phép biến đổi tích phân,
848309,Nhập môn toán tài chính,
854416,Giao tiếp đa văn hóa,
820001,Đạo đức học,                              
836519,Kỹ năng tổ chức trong quản trị văn phòng,
864007,Đại số tuyến tính,                              
811506,Phương pháp nghiên cứu khoa học Địa lý,
854420,Thực tập tốt nghiệp (DQT),
853007,Tâm lí học xã hội,                              
834342,Mô hình hóa môi trường,
853509,Nhập môn tâm lý học lâm sàng,
820482,Giáo dục kinh tế 2,
847417,Phương pháp sư phạm thanh nhạc,
836506,Tâm lý học quản lý,
822403,Một số vấn đề về địa lí tự nhiên,
857427,Thực tập tốt nghiệp (DDL),
822309,Bản đồ và hệ thống thông tin Địa lí,
853402,Tâm lí học quản  lí,
836124,Nghiệp vụ thư ký văn phòng,                              
809415,Ngôn ngữ học xã hội,
832105,Kinh tế vi mô,                              
839414,Thực tập nghiệp vụ (DTT),
810409,Lịch sử thế giới hiện đại,
839081,Truyền thông đa phương tiện,                              
841408,Kiểm thử phần mềm,
846098,Thực tập 2,                              
817502,Giải phẫu tạo hình,
833359,Quản trị tài chính quốc tế,
834430,Kỹ thuật xử lý nước thải ,
817412,Phương pháp NCKH ngành Sư phạm Mỹ thuật,
810407,Lịch sử thế giới trung đại,
803103,Thực hành hóa học đại cương,                              
CALO12,Cầu lông 2,                              
809406,Ngữ âm - Từ vựng tiếng Việt,
849412,Kỹ thuật điện lạnh và hệ thống điện khí nén,
865005,Logic học,                              
822402,Tiếng Anh chuyên ngành Lịch sử - Địa lí,
821417,Thực hành hóa học,
834307,Kỹ thuật phân tích môi trường,
809316,Các thể loại và tác gia tiêu biểu văn học châu Á,
803333,Hóa lý 1,
859408,Nghiệp vụ nhà hàng,
